City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
218,Funtua,NG,11.52,7.31,74.8,63,100,3.4,overcast clouds,0.0,0.0
219,Bahia Blanca,AR,-38.72,-62.27,39.13,77,42,3.42,scattered clouds,0.0,0.0
220,Chongoyape,PE,-6.64,-79.39,68.52,70,100,2.71,light rain,0.0,0.0
221,Pisco,PE,-13.7,-76.22,60.01,87,20,5.82,few clouds,0.0,0.0
222,Tautira,PF,-17.73,-149.15,80.6,74,75,5.82,shower rain,0.0,0.0
223,Bathsheba,BB,13.22,-59.52,80.6,83,75,20.8,broken clouds,0.0,0.0
224,Hami,CN,42.8,93.45,89.42,20,30,13.6,scattered clouds,0.0,0.0
225,Sri Aman,MY,1.24,111.46,82.4,88,20,2.24,few clouds,0.0,0.0
226,Bowling Green,US,36.99,-86.44,80.6,78,1,3.22,clear sky,0.0,0.0
227,Ostrovnoy,RU,68.05,39.51,55.27,81,46,27.2,scattered clouds,0.0,0.0
228,Kyabe,TD,9.45,18.94,72.27,93,100,4.03,overcast clouds,0.0,0.0
229,Touros,BR,-5.2,-35.46,71.6,100,75,3.36,broken clouds,0.0,0.0
230,Roanoke Rapids,US,36.46,-77.65,77.0,94,1,3.36,clear sky,0.0,0.0
231,Lavrentiya,RU,65.58,-171.0,48.31,80,29,10.51,scattered clouds,0.0,0.0
232,Meulaboh,ID,4.14,96.13,84.33,66,99,1.48,overcast clouds,0.0,0.0
233,Comodoro Rivadavia,AR,-45.87,-67.5,33.8,80,1,2.24,clear sky,0.0,0.0
234,Ahuimanu,US,21.44,-157.84,84.2,58,40,11.41,scattered clouds,0.0,0.0
235,Broome,US,42.25,-75.83,69.8,77,1,9.17,clear sky,0.0,0.0
236,Saldanha,ZA,-33.01,17.94,53.6,87,55,5.82,broken clouds,0.0,0.0
237,Komsomolskiy,UZ,40.43,71.72,78.8,27,0,2.24,clear sky,0.0,0.0
238,Kismayo,SO,-0.36,42.55,77.31,80,75,15.21,broken clouds,0.0,0.0
239,Concarneau,FR,47.88,-3.92,48.2,93,0,2.24,clear sky,0.0,0.0
240,Auki,SB,-8.77,160.7,85.12,68,18,3.96,light rain,0.0,0.0
241,Lenger,KZ,42.18,69.88,77.0,41,0,1.48,clear sky,0.0,0.0
242,Scarborough,GB,54.28,-0.4,48.99,82,100,1.99,overcast clouds,0.0,0.0
243,Manyana,BW,-23.4,21.72,48.45,43,0,7.85,clear sky,0.0,0.0
244,Tanout,NE,14.97,8.89,81.9,57,28,18.45,scattered clouds,0.0,0.0
245,Kachug,RU,53.96,105.88,81.79,48,73,1.72,broken clouds,0.0,0.0
246,Townsville,AU,-19.25,146.8,75.2,60,75,16.11,broken clouds,0.0,0.0
247,Gushikawa,JP,26.35,127.87,89.6,70,40,18.34,scattered clouds,0.0,0.0
248,Mazyr,BY,52.05,29.25,65.25,90,7,4.52,clear sky,0.0,0.0
249,Lodwar,KE,3.12,35.6,80.26,50,92,9.98,overcast clouds,0.0,0.0
250,Great Falls,US,47.5,-111.3,77.0,38,1,10.29,clear sky,0.0,0.0
251,Fort Saint James,CA,54.43,-124.25,64.45,58,99,1.9,overcast clouds,0.0,0.0
252,Tezu,IN,27.92,96.17,78.66,85,99,1.07,light rain,0.0,0.0
253,Ketchikan,US,55.34,-131.65,60.8,72,90,8.05,overcast clouds,0.0,0.0
254,Santiago,CL,-33.46,-70.65,46.4,87,100,2.24,overcast clouds,0.0,0.0
255,Clyde River,CA,70.47,-68.59,39.2,93,90,6.93,overcast clouds,0.0,0.0
256,Esperance,AU,-33.87,121.9,55.4,76,0,18.34,clear sky,0.0,0.0
257,Beidao,CN,34.57,105.89,88.57,27,1,3.49,clear sky,0.0,0.0
258,Mingguang,CN,32.78,117.96,90.61,65,42,7.38,scattered clouds,0.0,0.0
259,Balikpapan,ID,-1.27,116.83,77.0,100,40,6.93,scattered clouds,0.0,0.0
260,Loreto,MX,22.27,-101.97,71.29,42,59,18.52,broken clouds,0.0,0.0
261,Yulara,AU,-25.24,130.99,57.2,41,0,11.41,clear sky,0.0,0.0
262,Adrar,MR,20.5,-10.07,88.54,34,0,11.83,clear sky,0.0,0.0
263,Lazaro Cardenas,MX,17.96,-102.2,81.01,76,96,1.63,overcast clouds,0.0,0.0
264,Yatou,CN,37.15,122.38,75.04,78,31,12.12,scattered clouds,0.0,0.0
265,Laguna,US,38.42,-121.42,78.8,33,1,9.17,clear sky,0.0,0.0
266,Westport,US,41.14,-73.36,70.0,89,100,10.49,overcast clouds,0.0,0.0
267,Hutchinson,US,38.06,-97.93,78.01,83,1,3.36,clear sky,0.0,0.0
268,Wladyslawowo,PL,54.79,18.4,55.99,78,52,5.01,broken clouds,0.0,0.0
269,Klaksvik,FO,62.23,-6.59,44.6,81,100,16.11,overcast clouds,0.0,0.0
270,At-Bashi,KG,41.17,75.81,60.21,33,0,1.3,clear sky,0.0,0.0
271,Namibe,AO,-15.2,12.15,67.35,67,0,6.26,clear sky,0.0,0.0
272,Usolye-Sibirskoye,RU,52.75,103.65,83.48,47,0,2.89,clear sky,0.0,0.0
273,Pareora,NZ,-44.49,171.21,53.01,56,100,3.0,overcast clouds,0.0,0.0
274,Yumen,CN,40.28,97.2,85.87,14,64,7.72,broken clouds,0.0,0.0
275,Nabire,ID,-3.37,135.48,85.62,60,100,3.78,overcast clouds,0.0,0.0
276,Magaria,NE,13.0,8.91,80.74,59,51,9.04,broken clouds,0.0,0.0
277,Constitucion,CL,-35.33,-72.42,48.99,72,98,2.77,overcast clouds,0.0,0.0
278,Narsaq,GL,60.92,-46.05,46.4,70,93,3.36,overcast clouds,0.0,0.0
279,Zhigansk,RU,66.77,123.37,49.12,73,100,9.98,overcast clouds,0.0,0.0
280,Viedma,AR,-40.81,-63.0,37.33,79,0,4.38,clear sky,0.0,0.0
281,Puerto Leguizamo,CO,-0.19,-74.78,72.9,96,98,1.88,overcast clouds,0.0,0.0
282,Orodara,BF,10.95,-4.93,78.8,88,70,9.17,broken clouds,0.0,0.0
283,Tiarei,PF,-17.53,-149.33,80.6,74,75,5.82,shower rain,0.0,0.0
284,Vao,NC,-22.67,167.48,69.71,73,100,12.24,light rain,0.0,0.0
285,Malindi,KE,-3.22,40.12,76.51,84,78,16.78,broken clouds,0.0,0.0
286,Badiraguato,MX,25.37,-107.52,86.0,56,100,3.0,overcast clouds,0.0,0.0
287,Bemidji,US,47.47,-94.88,69.8,77,1,4.63,clear sky,0.0,0.0
288,Sao Filipe,CV,14.9,-24.5,73.72,82,68,7.38,broken clouds,0.0,0.0
289,Namatanai,PG,-3.67,152.43,83.39,75,24,8.14,moderate rain,0.0,0.0
290,Nadym,RU,65.53,72.52,74.1,52,97,6.89,overcast clouds,0.0,0.0
291,Tyukhtet,RU,56.54,89.3,68.38,77,38,6.98,scattered clouds,0.0,0.0
292,Nizhniy Kuranakh,RU,58.84,125.49,72.7,39,13,2.1,few clouds,0.0,0.0
293,Kibala,TD,9.11,18.35,72.07,92,100,2.8,overcast clouds,0.0,0.0
294,La Troncal,EC,-2.4,-79.33,73.4,87,83,1.79,broken clouds,0.0,0.0
295,Half Moon Bay,US,37.46,-122.43,64.99,76,20,20.8,few clouds,0.0,0.0
296,Port Hedland,AU,-20.32,118.57,80.6,10,0,18.34,clear sky,0.0,0.0
297,Husavik,IS,66.04,-17.34,35.6,100,0,1.74,clear sky,0.0,0.0
